date,vaccine
2021-03-17,0.01
2021-03-18,0.01
2021-03-19,0.01
2021-03-20,0.01
2021-03-21,0.08
2021-03-22,0.09
2021-03-23,0.09
2021-03-24,0.11
2021-03-25,0.13
2021-03-26,0.13
2021-03-27,0.14
2021-03-28,0.14
2021-03-29,0.18
2021-03-30,0.19
2021-03-31,0.28
2021-04-01,0.31
2021-04-02,0.31
2021-04-03,0.32
2021-04-04,0.32
2021-04-05,0.32
2021-04-06,0.35
2021-04-07,0.37
2021-04-08,0.53
2021-04-09,0.56
2021-04-10,0.57
2021-04-11,0.58
2021-04-12,0.61
2021-04-13,0.64
2021-04-14,0.66
2021-04-15,0.69
2021-04-16,0.71
2021-04-17,0.72
2021-04-18,0.72
2021-04-19,0.75
2021-04-20,0.78
2021-04-21,0.85
2021-04-22,0.88
2021-04-23,0.9
2021-04-24,0.9
2021-04-25,0.9
2021-04-26,0.91
2021-04-27,0.92
2021-04-28,0.95
2021-04-29,0.98
2021-04-30,1
2021-05-01,1.01
2021-05-02,1.01
2021-05-03,1.03
2021-05-04,1.05
2021-05-05,1.08
2021-05-06,1.11
2021-05-07,1.13
2021-05-08,1.14
2021-05-09,1.14
2021-05-10,1.16
2021-05-11,1.19
2021-05-12,1.22
2021-05-13,1.24
2021-05-14,1.27
2021-05-15,1.28
2021-05-16,1.29
2021-05-17,1.59
2021-05-18,1.62
2021-05-19,1.65
2021-05-20,1.69
2021-05-24,1.69
2021-05-25,1.84
2021-05-26,1.87
2021-05-27,1.9
2021-05-28,1.93
2021-05-29,1.93
2021-05-30,1.94
2021-05-31,1.96
2021-06-01,2.1
2021-06-02,2.13
2021-06-03,2.17
2021-06-04,2.21
2021-06-05,2.22
2021-06-06,2.38
2021-06-07,2.46
2021-06-08,2.53
2021-06-09,2.6
2021-06-10,2.66
2021-06-11,2.73
2021-06-12,2.76
2021-06-13,3.36
2021-06-14,3.5
2021-06-15,3.59
2021-06-16,3.73
2021-06-17,3.96
2021-06-18,4.05
2021-06-19,4.1
2021-06-20,4.19
2021-06-21,4.22
2021-06-22,4.71
2021-06-23,4.82
2021-06-24,5.27
2021-06-25,5.38
2021-06-26,5.62
2021-06-27,5.73
2021-06-28,5.73
2021-06-29,6
2021-06-30,6.33
2021-07-01,6.69
2021-07-02,7.01
2021-07-03,7.2
2021-07-04,7.28
2021-07-05,7.54
2021-07-06,7.85
2021-07-07,8.14
2021-07-08,8.46
2021-07-09,8.74
2021-07-10,8.93
2021-07-11,9.02
2021-07-12,9.31
2021-07-13,9.65
2021-07-14,10
2021-07-15,10.35
2021-07-16,10.68
2021-07-17,10.86
2021-07-18,10.97
2021-07-19,11.27
2021-07-20,11.61
2021-07-21,11.98
2021-07-22,12.34
2021-07-23,12.69
2021-07-24,12.9
2021-07-25,13.03
2021-07-26,13.36
2021-07-27,13.75
2021-07-28,14.18
2021-07-29,14.59
2021-07-30,14.99
2021-07-31,15.23
2021-08-01,15.37
2021-08-02,15.75
2021-08-03,16.19
2021-08-04,16.63
2021-08-05,17.1
2021-08-06,17.55
2021-08-07,17.88
2021-08-08,18.04
2021-08-09,18.46
2021-08-10,18.97
2021-08-11,19.48
2021-08-12,20
2021-08-13,20.54
2021-08-14,20.83
2021-08-15,20.98
2021-08-16,21.49
2021-08-17,21.99
2021-08-18,22.55
2021-08-19,23.11
2021-08-20,23.67
2021-08-21,24.01
2021-08-22,24.2
2021-08-23,24.7
2021-08-24,25.24
2021-08-25,25.83
2021-08-26,26.4
2021-08-27,26.95
2021-08-28,27.32
2021-08-29,27.51
2021-08-30,28.01
2021-08-31,28.58
2021-09-01,29.13
2021-09-02,29.68
2021-09-03,30.22
2021-09-04,30.55
2021-09-05,30.73
2021-09-06,31.2
2021-09-07,31.75
2021-09-08,32.3
2021-09-09,32.89
2021-09-10,33.47
2021-09-11,33.82
2021-09-12,34.02
2021-09-13,34.59
2021-09-14,35.16
2021-09-15,35.74
2021-09-16,36.3
2021-09-17,36.95
2021-09-18,37.35
2021-09-19,37.62
2021-09-20,38.21
2021-09-21,38.85
2021-09-22,39.49
2021-09-23,40.15
2021-09-24,40.8
2021-09-25,41.24
2021-09-26,41.51
2021-09-27,42.12
2021-09-28,42.81
2021-09-29,43.44
2021-09-30,44.15
2021-10-01,44.87
2021-10-02,45.33
2021-10-03,45.63
2021-10-04,46.02
2021-10-05,46.86
2021-10-06,47.67
2021-10-07,48.48
2021-10-08,49.33
2021-10-09,49.96
2021-10-10,50.4
2021-10-11,51.23
2021-10-12,52.14
2021-10-13,53.02
2021-10-14,53.87
2021-10-15,54.68
2021-10-16,55.24
2021-10-17,55.69
2021-10-18,56.45
2021-10-19,57.21
2021-10-20,57.96
2021-10-21,58.73
2021-10-22,59.49
2021-10-23,60.04
2021-10-24,60.37
2021-10-25,61.01
2021-10-26,61.63
2021-10-27,62.24
2021-10-28,62.87
2021-10-29,63.45
2021-10-30,63.86
2021-10-31,64.1
2021-11-01,64.68
2021-11-02,65.06
2021-11-03,65.56
2021-11-04,66.05
2021-11-05,66.56
2021-11-06,66.84
2021-11-07,67.02
2021-11-08,67.43
2021-11-09,67.81
2021-11-10,68.18
2021-11-11,68.56
2021-11-12,68.94
2021-11-13,69.16
2021-11-14,69.3
2021-11-15,69.64
2021-11-16,69.96
2021-11-17,70.25
2021-11-18,70.55
2021-11-19,70.83
2021-11-20,71
2021-11-21,71.05
2021-11-22,71.39
2021-11-23,71.63
2021-11-24,71.87
2021-11-25,72.1
2021-11-26,72.34
2021-11-27,72.46
2021-11-28,72.53
2021-11-29,72.74
2021-11-30,72.94
2021-12-01,73.13
2021-12-02,73.33
2021-12-03,73.53
2021-12-04,73.64
2021-12-05,73.71
2021-12-06,73.89
2021-12-07,74.07
2021-12-08,74.26
2021-12-09,74.44
2021-12-10,74.6
2021-12-11,74.69
2021-12-12,74.73
2021-12-13,74.95
2021-12-14,75.13
2021-12-15,75.31
2021-12-16,75.49
2021-12-17,75.67
2021-12-18,75.77
2021-12-19,75.82
2021-12-20,75.96
2021-12-21,76.08
2021-12-22,76.2
2021-12-23,76.31
2021-12-26,76.39
2021-12-27,76.41
2021-12-28,76.43
2021-12-29,76.52
2021-12-30,76.61
2022-01-02,76.69
2022-01-03,76.71
2022-01-04,76.8
2022-01-05,76.9
2022-01-06,77
2022-01-07,77.1
2022-01-08,77.15
2022-01-09,77.19
2022-01-10,77.28
2022-01-11,77.35
2022-01-12,77.43
2022-01-13,77.51
2022-01-14,77.58
2022-01-15,77.62
2022-01-16,77.64
2022-01-17,77.69
2022-01-18,77.75
2022-01-19,77.81
2022-01-20,77.88
2022-01-21,77.94
2022-01-22,77.97
2022-01-23,77.98
2022-01-24,78.03
2022-01-25,78.09
2022-01-26,78.11
2022-01-27,78.18
2022-01-28,78.25
2022-01-29,78.29
2022-01-30,78.31
2022-01-31,78.37
2022-02-01,78.44
2022-02-02,78.5
2022-02-03,78.56
2022-02-04,78.62
2022-02-05,78.65
2022-02-06,78.67
2022-02-07,78.72
2022-02-08,78.77
2022-02-09,78.82
2022-02-10,78.87
2022-02-11,78.92
2022-02-12,78.95
2022-02-13,78.96
2022-02-14,79.01
2022-02-15,79.05
2022-02-16,79.08
2022-02-17,79.12
2022-02-18,79.16
2022-02-19,79.19
2022-02-20,79.2
2022-02-21,79.23
2022-02-22,79.27
2022-02-23,79.3
2022-02-24,79.34
2022-02-25,79.37
2022-02-26,79.39
2022-02-27,79.4
2022-02-28,79.43
2022-03-01,79.46
2022-03-02,79.48
2022-03-03,79.51
2022-03-04,79.55
2022-03-05,79.57
2022-03-06,79.59
2022-03-07,79.66
2022-03-08,79.76
2022-03-09,79.87
2022-03-10,79.98
2022-03-11,80.12
2022-03-12,80.26
2022-03-13,80.32
2022-03-14,80.44
2022-03-15,80.58
2022-03-16,80.73
2022-03-17,80.86
2022-03-18,81.02
2022-03-19,81.17
2022-03-20,81.25
2022-03-21,81.39
2022-03-22,81.51
2022-03-23,81.6
2022-03-24,81.71
2022-03-25,81.84
2022-03-26,81.96
2022-03-27,82.03
2022-03-28,82.13
2022-03-29,82.21
2022-03-30,82.28
2022-03-31,82.36
2022-04-01,82.44
2022-04-02,82.52
2022-04-03,82.56
2022-04-04,82.63
2022-04-05,82.68
2022-04-06,82.73
2022-04-07,82.78
2022-04-08,82.84
2022-04-09,82.88
2022-04-10,82.9
2022-04-11,82.97
2022-04-12,83.02
2022-04-13,83.07
2022-04-14,83.12
2022-04-15,83.12
2022-04-16,83.13
2022-04-17,83.14
2022-04-18,83.14
2022-04-19,83.19
2022-04-20,83.22
2022-04-21,83.26
2022-04-22,83.3
2022-04-23,83.33
2022-04-24,83.35
2022-04-25,83.35
2022-04-26,83.38
2022-04-27,83.4
2022-04-28,83.43
2022-04-29,83.45
2022-04-30,83.48
2022-05-01,83.48
2022-05-02,83.5
2022-05-03,83.52
2022-05-04,83.53
2022-05-05,83.55
2022-05-06,83.57
2022-05-07,83.58
2022-05-08,83.58
2022-05-09,83.6
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,